LOCATION,PLUSPCUSTOMER,NAME,LATITUDEY,LONGITUDEX,ANCESTOR,BRANCH,TYPE,STATUS,POSTALCODE,ORGID
L1000138,H1000000,WM MORRISONS SUPERMARKETS PLC,52.38307,-2.24649683,901000,900000,,OPERATING,DY10 1AZ,INTHK
L1000144,H1000000,WM MORRISONS SUPERMARKETS PLC,53.70641997,-1.2513707,901000,900000,,OPERATING,WF11 8ER,INTHK
L1000146,H1000000,WM MORRISONS SUPERMARKETS PLC,51.29749347,0.44076172,901000,900000,,OPERATING,ME20 6AB,INTHK
L1000147,H1000000,WM MORRISONS SUPERMARKETS PLC,52.36857917,-0.6887913,901000,900000,,OPERATING,NN15 5YT,INTHK
L1000148,H1000000,WM MORRISONS SUPERMARKETS PLC,52.246716,-1.5590602,901000,900000,,OPERATING,CV31 3NU,INTHK
L1000150,H1000000,WM MORRISONS SUPERMARKETS PLC,53.4874061,-2.5380806,901000,900000,,OPERATING,WN7 4JY,INTHK
L1000151,H1000000,WM MORRISONS SUPERMARKETS PLC,51.97739942,-0.23230113,901000,900000,,OPERATING,SG6 3TS,INTHK
L1000152,H1000000,WM MORRISONS SUPERMARKETS PLC,53.69808282,-2.69649278,901000,900000,,OPERATING,PR25 3UR,INTHK
L1000154,H1000000,WM MORRISONS SUPERMARKETS PLC,50.82055992,-0.54487678,901000,900000,,OPERATING,BN17 7LA,INTHK
L1000155,H1000000,WM MORRISONS SUPERMARKETS PLC,55.8769543,-3.5280885,901000,900000,,OPERATING,EH54 6GB,INTHK
L1000156,H1000000,WM MORRISONS SUPERMARKETS PLC,51.678141,-4.1359479,901000,900000,,OPERATING,SA14 9DR,INTHK
L1000157,H1000000,WM MORRISONS SUPERMARKETS PLC,51.64763347,0.05361917,901000,900000,,OPERATING,IG10 1HW,INTHK
L1000160,H1000000,WM MORRISONS SUPERMARKETS PLC,51.24525382,0.54568357,901000,900000,,OPERATING,ME15 9NN,INTHK
L1000161,H1000000,WM MORRISONS SUPERMARKETS PLC,53.48011132,-2.23780303,901000,900000,,OPERATING,M1 1LU,INTHK
L1000164,H1000000,WM MORRISONS SUPERMARKETS PLC,53.80126667,-1.54688188,901000,900000,,OPERATING,LS2 8PL,INTHK
L1000165,H1000000,WM MORRISONS SUPERMARKETS PLC,52.002872,-0.7951034,901000,900000,,OPERATING,MK4 4DD,INTHK
L1000166,H1000000,WM MORRISONS SUPERMARKETS PLC,52.030219,-0.7693592,901000,900000,,OPERATING,MK9 1DL,INTHK
L1000167,H1000000,WM MORRISONS SUPERMARKETS PLC,51.20274972,-3.46665353,901000,900000,,OPERATING,TA24 6DG,INTHK
L1000168,H1000000,WM MORRISONS SUPERMARKETS PLC,51.40497547,-0.16453708,901000,900000,,OPERATING,CR4 2JS,INTHK
L1000169,H1000000,WM MORRISONS SUPERMARKETS PLC,55.90966622,-3.14354913,901000,900000,,OPERATING,EH17 7JH,INTHK
L1000171,H1000000,WM MORRISONS SUPERMARKETS PLC,54.517138,-1.5030281,901000,900000,,OPERATING,DL1 4PJ,INTHK
L1000174,H1000000,WM MORRISONS SUPERMARKETS PLC,51.57659667,-2.9688369,901000,900000,,OPERATING,NP19 0XB,INTHK
L1000175,H1000000,WM MORRISONS SUPERMARKETS PLC,53.47151642,-2.16816183,901000,900000,,OPERATING,M11 1ND,INTHK
L1000177,H1000000,WM MORRISONS SUPERMARKETS PLC,51.25428507,-0.00520523,901000,900000,,OPERATING,RH8 9AE,INTHK
L1000179,H1000000,WM MORRISONS SUPERMARKETS PLC,51.61506837,-0.11277718,901000,900000,,OPERATING,N13 4EU,INTHK
L1000180,H1000000,WM MORRISONS SUPERMARKETS PLC,51.47136942,-0.06985028,901000,900000,,OPERATING,SE15 5EW,INTHK
L1000181,H1000000,WM MORRISONS SUPERMARKETS PLC,50.12663442,-5.51517183,901000,900000,,OPERATING,TR18 3RF,INTHK
L1000182,H1000000,WM MORRISONS SUPERMARKETS PLC,56.395349,-3.44286883,901000,900000,,OPERATING,PH1 5XD,INTHK
L1000183,H1000000,WM MORRISONS SUPERMARKETS PLC,57.50953557,-1.79111548,901000,900000,,OPERATING,AB42 1HG,INTHK
L1000184,H1000000,WM MORRISONS SUPERMARKETS PLC,51.38656597,0.07289982,901000,900000,,OPERATING,BR5 1DH,INTHK
L1000185,H1000000,WM MORRISONS SUPERMARKETS PLC,50.39533822,-4.14161443,901000,900000,,OPERATING,PL3 5UQ,INTHK
L1000186,H1000000,WM MORRISONS SUPERMARKETS PLC,50.36445567,-4.10156803,901000,900000,,OPERATING,PL9 7BH,INTHK
L1000187,H1000000,WM MORRISONS SUPERMARKETS PLC,50.82482112,-1.0481023,901000,900000,,OPERATING,PO3 5FB,INTHK
L1000188,H1000000,WM MORRISONS SUPERMARKETS PLC,50.80425507,-1.08975838,901000,900000,,OPERATING,PO1 4QP,INTHK
L1000191,H1000000,WM MORRISONS SUPERMARKETS PLC,51.43300817,-0.97217413,901000,900000,,OPERATING,RG2 0HB,INTHK
